CORRELATIVO;CUENTA_CONTABLE;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Errores Totales
1732212;621001020004;1;0;0;1
1732154;621004060007;1;0;0;1
1732160;621004060007;1;0;0;1
1732235;621001020004;0;1;0;1
1732253;621001020004;0;1;0;1
1732209;621001020004;0;1;0;1
1732230;621001020004;0;1;0;1
1726931;114203990167;0;1;0;1
1726930;114203990167;0;1;0;1
1732274;621001020004;1;0;0;1
1732297;621001020004;1;0;0;1
1732298;621001020004;0;1;0;1
1732394;621001020004;1;0;0;1
1732267;621001020004;0;0;1;1
1732325;621001020004;0;1;0;1
1732337;621001020004;0;1;0;1
1732357;621001020004;0;0;1;1
1732311;621001020004;0;1;0;1
1732449;621001020004;0;1;0;1
1732474;621001020004;0;1;0;1
1732388;621001020004;0;1;0;1
1732479;621001020004;0;1;0;1
1732589;621001020004;0;1;0;1
1732748;621004060013;1;0;0;1
1732699;621004020002;0;1;0;1
1732686;621004020002;0;1;0;1
1733795;621004060084;0;1;0;1
1734261;225004010004;0;1;0;1
1733091;621004060084;0;1;0;1
1734298;225004010004;0;1;0;1
1736999;621004060073;0;0;1;1
1734568;621004060044;0;1;0;1
1734677;621004060044;0;0;1;1
1732762;621004060084;0;1;0;1
1736733;621004060044;0;0;1;1
1736735;621004060044;0;1;0;1
1734597;621004060044;0;1;0;1
1736754;621004060044;0;1;0;1
1737194;621004060005;0;0;1;1
1737023;621004060005;0;1;0;1
1737569;125002040103;0;1;0;1
1739653;125002040105;0;1;0;1
Totales;42 DTE;7;29;6;
