CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA NO SE HA PROPORCIONADO DATOS PARA VALIDAR. Su direccion IP es: 190.57.73.62;Errores Totales
1604212;611001060011;1;0;0;0;1
1604275;611001060010;1;0;0;0;1
1604264;611001060009;1;0;0;0;1
1604527;114204990111;1;0;0;0;1
1604501;114204990111;1;0;0;0;1
1605220;114204990124;1;0;0;0;1
1605215;114204990124;1;0;0;0;1
1604543;114204990111;1;0;0;0;1
1605214;114204990124;1;0;0;0;1
1605633;611001060002;0;1;0;0;1
1605279;114204990124;1;0;0;0;1
1604542;114204990111;1;0;0;0;1
1604488;114204990111;0;1;0;0;1
1605644;611001060002;0;1;0;0;1
1605224;114204990124;1;0;0;0;1
1605222;114204990124;1;0;0;0;1
1605276;114204990124;1;0;0;0;1
1604270;611001060010;1;0;0;0;1
1605234;114204990124;0;1;0;0;1
1605322;114204990126;1;0;0;0;1
1610141;621004060007;1;0;0;0;1
1610189;621004060007;1;0;0;0;1
1610335;621001020004;1;0;0;0;1
1610403;621001020004;0;0;1;0;1
1610355;621001020004;1;0;0;0;1
1610408;621001020004;0;1;0;0;1
1610439;621001020004;1;0;0;0;1
1610450;621001020004;1;0;0;0;1
1611404;621004060084;0;1;0;0;1
1610798;621004060084;1;0;0;0;1
1615191;621004060044;1;0;0;0;1
1615248;621004060044;0;1;0;0;1
1615331;621004060073;1;0;0;0;1
1615377;621004060005;1;0;0;0;1
1615469;621004060005;1;0;0;0;1
1615568;621004060005;0;0;0;1;1
1615688;621004060031;1;0;0;0;1
1615787;125002040103;0;1;0;0;1
1615851;125002040103;1;0;0;0;1
1615933;125002040103;1;0;0;0;1
1615962;125002040103;0;1;0;0;1
1615963;125002040103;0;1;0;0;1
1615793;125002040103;1;0;0;0;1
1616326;125002040103;1;0;0;0;1
1616385;125002040103;1;0;0;0;1
1616406;125002040103;1;0;0;0;1
1616501;125002040103;1;0;0;0;1
1616100;125002040103;1;0;0;0;1
1616583;125002040104;1;0;0;0;1
1616629;125002040104;1;0;0;0;1
1616607;125002040104;1;0;0;0;1
1616677;125002040104;1;0;0;0;1
1616582;125002040104;0;1;0;0;1
1616664;125002040104;1;0;0;0;1
1616735;125002040105;1;0;0;0;1
1615848;125002040103;1;0;0;0;1
1616737;125002040105;1;0;0;0;1
1616893;125002040105;1;0;0;0;1
1616749;125002040105;1;0;0;0;1
Totales;59 DTE;46;11;1;1;
