CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.57.73.62;Errores Totales
1874991;621004060070;1;0;0;1
1879021;114204990121;0;1;0;1
1894618;114204990121;1;0;0;1
1899451;611001060002;0;1;0;1
1896307;611001060002;0;1;0;1
1901743;621004060007;1;0;0;1
1901816;621004060007;0;0;1;1
1901817;621004060007;0;0;1;1
1901818;621004060007;0;0;1;1
1901811;621004060007;1;0;0;1
1901914;621001020004;0;0;1;1
1901961;621001020004;1;0;0;1
1901998;621001020004;1;0;0;1
1901932;621001020004;1;0;0;1
1902040;621001020004;1;0;0;1
1902097;621001020004;1;0;0;1
1902111;621001020004;1;0;0;1
1902125;621001020004;1;0;0;1
1902140;621001020004;1;0;0;1
1902168;621001020004;0;1;0;1
1902151;621001020004;1;0;0;1
1902261;621001020004;1;0;0;1
1902473;621004060023;0;0;1;1
1902390;621001020004;1;0;0;1
1902450;621004060023;1;0;0;1
1902576;621004060002;1;0;0;1
1902761;621004060013;0;0;1;1
1902763;621004060013;0;0;1;1
1902747;621004060013;0;1;0;1
1904673;621004060084;1;0;0;1
1904547;621004060084;1;0;0;1
1907070;621004060044;1;0;0;1
1908143;621004060044;1;0;0;1
1908213;621004060044;0;1;0;1
1907675;621004060044;1;0;0;1
1911020;621004060044;0;1;0;1
1911019;621004060044;1;0;0;1
1911035;621004060044;1;0;0;1
1911062;621004060044;0;1;0;1
1907238;621004060044;1;0;0;1
1911075;621004060044;0;1;0;1
1911030;621004060044;1;0;0;1
1907628;621004060044;1;0;0;1
1911179;621004060044;0;1;0;1
1911032;621004060044;1;0;0;1
1911064;621004060044;0;1;0;1
1911027;621004060044;0;1;0;1
1911307;621004060073;0;1;0;1
1911401;621004060005;0;0;1;1
1911402;621004060005;0;0;1;1
1911308;621004060073;0;1;0;1
1911187;621004060021;0;1;0;1
1911440;621004060005;1;0;0;1
1911486;621004060005;1;0;0;1
1912711;125002040103;0;1;0;1
1922873;125002040103;1;0;0;1
1943621;125099910124;0;1;0;1
1939963;222099910175;1;0;0;1
1928706;125002040106;0;1;0;1
Totales;59 DTE;32;18;9;
