CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.62.19.43;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.62.19.43;Errores Totales
1528080;621004060084;1;0;1
1530564;621004060073;0;1;1
1523887;114204990111;1;0;1
1530835;125002040103;1;0;1
1527525;621004060084;1;0;1
1527590;621004060084;0;1;1
1529234;621004060084;0;1;1
1523835;114103990113;0;1;1
Totales;8 DTE;4;4;
