CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Errores Totales
1706229;114204990162;1;0;1
1708697;621004060084;0;1;1
1710636;621004060044;0;1;1
1711032;621004060044;1;0;1
1711847;621004060044;1;0;1
1709765;621004060084;0;1;1
1711357;621004060044;0;1;1
1712306;621004060044;0;1;1
1712438;621004060073;1;0;1
Totales;9 DTE;4;5;
