CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.62.19.43;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.62.19.43;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.62.19.43;Errores Totales
1566911;125002040104;1;0;0;1
1566996;125002040105;0;1;0;1
1559567;621004060080;0;1;0;1
1559596;611001060010;0;1;0;1
1559608;611001050011;0;1;0;1
1566995;125002040105;0;1;0;1
1559607;611001050011;0;1;0;1
1567051;125002040105;0;1;0;1
1559630;114103990113;0;1;0;1
1559735;114204990111;0;1;0;1
1559821;114204990113;0;1;0;1
1562773;621001020004;0;0;1;1
1562791;621001020004;0;0;1;1
1562748;621001020004;0;1;0;1
1562765;621001020004;0;1;0;1
1560146;114204990124;1;0;0;1
1560072;114204990121;0;1;0;1
1562793;621001020004;0;1;0;1
1567050;125002040105;0;1;0;1
1562796;621001020004;0;1;0;1
1562838;621001020004;0;1;0;1
1562896;621001020004;0;1;0;1
1562901;621001020004;0;1;0;1
1562910;621001020004;0;1;0;1
1562843;621001020004;0;1;0;1
1562946;621001020004;0;1;0;1
1563056;621001020004;0;0;1;1
1563072;621001020004;0;0;1;1
1563025;621001020004;1;0;0;1
1563099;621001020004;1;0;0;1
1563078;621001020004;0;1;0;1
1563139;621004060013;0;1;0;1
1563140;621004060013;0;1;0;1
1563270;621004060084;1;0;0;1
1563159;621004060084;1;0;0;1
1563204;621004060084;1;0;0;1
1564520;621004060084;1;0;0;1
1563158;621004060084;1;0;0;1
1566186;621004060005;0;0;1;1
1563207;621004060084;1;0;0;1
1564524;621004060084;1;0;0;1
1566121;621004060073;0;1;0;1
1566150;621004060005;0;1;0;1
1566123;621004060073;0;1;0;1
1566304;621004060005;0;0;1;1
1566275;621004060005;0;1;0;1
1566364;621004060005;1;0;0;1
1566361;621004060005;1;0;0;1
1566417;621004060006;0;1;0;1
1566384;621004060005;1;0;0;1
1566608;125002040103;1;0;0;1
1566554;125002040103;0;1;0;1
1566553;125002040103;0;1;0;1
Totales;53 DTE;15;32;6;
