CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Errores Totales
1589495;114204990124;1;0;1
1589499;114204990124;1;0;1
1589217;114204990111;0;1;1
1593036;621001020004;1;0;1
1593241;621004060084;1;0;1
1593770;621004060084;1;0;1
1593479;621004060084;1;0;1
1594135;621004060084;1;0;1
1593200;621004060084;1;0;1
1595265;621004060084;1;0;1
1596076;621004060084;1;0;1
1597482;621004060044;0;1;1
1597557;621004060044;0;1;1
1595289;621004060084;1;0;1
1597748;621004060073;1;0;1
1597751;621004060073;0;1;1
1597496;621004060044;1;0;1
1597760;621004060073;0;1;1
1597830;621004060005;1;0;1
1598193;125002040104;1;0;1
1598218;125002040104;1;0;1
1598041;125002040103;1;0;1
1597864;125002040103;1;0;1
Totales;23 DTE;18;5;
