CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.57.73.62;Errores Totales
1848755;621001020004;1;0;0;1
1848823;621001020004;1;0;0;1
1838509;114203990147;1;0;0;1
1848724;621001020004;1;0;0;1
1838510;114203990147;1;0;0;1
1838411;621004060079;1;0;0;1
1845063;924001000104;0;1;0;1
1845000;114204990162;0;1;0;1
1845589;611001060002;1;0;0;1
1838394;611001060011;1;0;0;1
1845056;915000000049;1;0;0;1
1848496;621001020004;1;0;0;1
1848531;621001020004;0;1;0;1
1848521;621001020004;1;0;0;1
1848689;621001020004;0;0;1;1
1848643;621001020004;1;0;0;1
1848662;621001020004;1;0;0;1
1848929;621001020004;0;0;1;1
1848703;621001020004;1;0;0;1
1848874;621001020004;1;0;0;1
1848714;621001020004;1;0;0;1
1848894;621001020004;1;0;0;1
1848896;621001020004;1;0;0;1
1848974;621001020002;1;0;0;1
1848993;621001020002;1;0;0;1
1849099;621004060013;1;0;0;1
1850110;621004060084;1;0;0;1
1850109;621004060084;0;1;0;1
1849077;621004060013;0;1;0;1
1849078;621004060013;0;1;0;1
1849113;621004060084;1;0;0;1
1849748;621004060084;0;1;0;1
1851026;621004060044;1;0;0;1
1851503;621004060044;0;1;0;1
1850114;621004060084;1;0;0;1
1851313;621004060044;1;0;0;1
1851508;621004060044;1;0;0;1
1854210;621004060044;0;1;0;1
1854253;621004060044;1;0;0;1
1854252;621004060044;1;0;0;1
1854218;621004060044;1;0;0;1
1849129;621004060084;1;0;0;1
1854383;621004060036;0;1;0;1
1854235;621004060044;1;0;0;1
1854242;621004060044;1;0;0;1
1854262;621004060044;1;0;0;1
1854216;621004060044;0;1;0;1
1854251;621004060044;1;0;0;1
1854522;621004060005;1;0;0;1
1854525;621004060005;1;0;0;1
1854786;621004060006;0;0;1;1
1854649;621004060005;1;0;0;1
1854758;621004060005;1;0;0;1
1860343;125002040103;0;1;0;1
1855073;125002040103;1;0;0;1
Totales;55 DTE;40;12;3;
