CORRELATIVO;CUENTA_CONTABLE;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Errores Totales
1781927;621004060007;1;0;0;1
1771450;621004060042;0;1;0;1
1773979;114203990167;0;0;1;1
1781941;621004060007;0;0;1;1
1777438;114204990124;0;0;1;1
1774934;114204990121;0;1;0;1
1773841;621004060079;0;0;1;1
1782110;621001020004;1;0;0;1
1782249;621001020004;1;0;0;1
1782180;621001020004;0;0;1;1
1782165;621001020004;0;0;1;1
1782218;621001020004;0;0;1;1
1782205;621001020004;0;0;1;1
1782403;621001020004;0;0;1;1
1782467;621001020004;0;1;0;1
1782477;621001020004;0;1;0;1
1782502;621001020004;0;0;1;1
1782436;621001020004;0;1;0;1
1782519;621001020004;0;0;1;1
1782571;621001020004;0;0;1;1
1782696;621004060084;0;0;1;1
1783167;621004060084;0;1;0;1
1784727;621004060033;0;1;0;1
1782725;621004060084;0;1;0;1
1784030;621004060084;0;0;1;1
1784942;225004010004;0;1;0;1
1785387;621004060044;0;0;1;1
1784773;621004060033;0;0;1;1
1786289;621004060044;0;1;0;1
1786216;621004060044;0;0;1;1
1786766;621004060044;0;1;0;1
1788307;621004060044;0;0;1;1
1788292;621004060044;0;0;1;1
1788335;621004060044;0;0;1;1
1788315;621004060044;0;0;1;1
1788652;621004060073;0;0;1;1
1788461;621004060044;0;1;0;1
1788725;621004060005;0;0;1;1
1788724;621004060005;0;0;1;1
1788640;621004060049;0;0;1;1
1785513;621004060044;0;1;0;1
1784870;225004010004;0;1;0;1
1788332;621004060044;0;0;1;1
1788280;621004060044;0;1;0;1
1788841;621004060005;0;0;1;1
1788902;621004060005;0;0;1;1
1788922;621004060005;0;0;1;1
1788923;621004060005;0;0;1;1
1792278;125002040103;0;1;0;1
1796625;125099910124;0;1;0;1
1789452;125002040103;0;0;1;1
1793285;125002040106;0;1;0;1
Totales;52 DTE;3;18;31;
