CORRELATIVO;CUENTA_CONTABLE;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.62.19.43;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.62.19.43;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.62.19.43;Errores Totales
1518410;621004060007;1;0;0;1
1513814;611001060011;0;1;0;1
1513866;114103990113;0;1;0;1
1514691;114204990121;0;1;0;1
1513859;114103990113;0;1;0;1
1518420;621004060007;1;0;0;1
1514317;114204990121;0;0;1;1
1513703;621004060070;0;1;0;1
1514760;114204990124;0;1;0;1
1514751;114204990124;0;1;0;1
1513968;114203990167;0;1;0;1
1513779;621004060070;0;0;1;1
1513967;114203990167;0;1;0;1
1514805;114204990124;0;1;0;1
1514811;114204990124;0;1;0;1
1514892;114204990158;0;1;0;1
1514797;114204990124;0;1;0;1
1514893;114204990158;0;1;0;1
1518505;621004060084;0;0;1;1
1518524;621004060084;0;1;0;1
1519166;621004060084;0;1;0;1
1514812;114204990124;0;1;0;1
1520775;621004060084;0;1;0;1
1522231;621004060073;0;1;0;1
1522232;621004060073;0;1;0;1
1522267;621004060005;0;1;0;1
1522268;621004060005;0;1;0;1
1522342;621004060005;0;1;0;1
1522354;621004060005;0;1;0;1
1522527;125002040103;0;1;0;1
1522572;125002040103;0;1;0;1
1522697;125002040103;0;1;0;1
1522831;125002040103;0;1;0;1
1522830;125002040103;0;1;0;1
1522832;125002040103;0;1;0;1
1522823;125002040103;0;1;0;1
1523069;125002040104;0;1;0;1
1523108;125002040104;0;1;0;1
1523106;125002040104;0;1;0;1
1523217;125002040105;0;1;0;1
1523110;125002040104;0;1;0;1
1523021;125002040103;0;0;1;1
1523470;222099910175;0;1;0;1
1523549;222099910175;0;0;1;1
1523107;125002040104;0;1;0;1
1523109;125002040104;0;1;0;1
Totales;46 DTE;2;39;5;
