CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.57.73.62;Errores Totales
1665818;621004060078;1;0;0;1
1665545;611001060006;0;1;0;1
1666220;114203990167;0;1;0;1
1666922;114204990131;0;1;0;1
1666514;114204990121;1;0;0;1
1666231;114203990167;0;1;0;1
1666923;114204990131;0;1;0;1
1667325;611001060002;0;1;0;1
1670571;621001020004;0;1;0;1
1667136;611001060002;1;0;0;1
1670592;621001020004;0;1;0;1
1670646;621001020004;0;1;0;1
1670690;621001020004;0;1;0;1
1670831;621001020004;0;0;1;1
1670705;621001020004;0;1;0;1
1670908;621001020004;0;0;1;1
1670819;621001020004;0;1;0;1
1670919;621001020004;0;1;0;1
1670990;621004060013;0;0;1;1
1671080;621004060084;0;1;0;1
1670964;621004060013;0;1;0;1
1671284;621004060084;0;1;0;1
1674724;621004060044;0;1;0;1
1672933;621004060084;0;1;0;1
1673167;621004060084;0;1;0;1
1672865;621004060084;0;1;0;1
1676881;621004060036;0;0;1;1
1674465;621004060044;0;1;0;1
1676750;621004060044;0;1;0;1
1676825;621004060044;1;0;0;1
1675578;621004060044;1;0;0;1
1676851;621004060021;0;1;0;1
1676755;621004060044;0;1;0;1
1674226;225004010004;0;1;0;1
1676874;621004060036;0;1;0;1
1674171;225004010004;0;1;0;1
1676865;621004060036;0;1;0;1
1676191;621004060044;0;1;0;1
1677181;621004060005;0;0;1;1
1677175;621004060005;0;0;1;1
1677043;621004060005;0;1;0;1
1677141;621004060005;0;1;0;1
1677220;621004060005;0;1;0;1
1677344;125002040103;1;0;0;1
1677907;125002040103;0;1;0;1
1678425;125002040105;0;1;0;1
1678424;125002040105;0;1;0;1
1678482;125002040105;0;1;0;1
1678481;125002040105;0;1;0;1
1678820;125099910124;1;0;0;1
1678483;125002040105;0;1;0;1
1678480;125002040105;0;1;0;1
Totales;52 DTE;7;39;6;
