CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA NO SE HA PROPORCIONADO DATOS PARA VALIDAR. Su direccion IP es: 190.57.73.62;Errores Totales
1761413;222005020104;1;1
Totales;1 DTE;1;
