CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Errores Totales
1813642;621004060044;1;0;1
1811963;621004060084;0;1;1
1813455;621004060044;0;1;1
1814993;621004060044;1;0;1
1812688;621004060084;0;1;1
1813334;621004060044;0;1;1
1813311;621004060044;1;0;1
1813352;621004060044;0;1;1
1813275;621004060044;1;0;1
1815424;621004060044;0;1;1
1814761;621004060044;1;0;1
1815456;621004060044;1;0;1
Totales;12 DTE;6;6;
