CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA NO SE HA PROPORCIONADO DATOS PARA VALIDAR. Su direccion IP es: 190.62.19.43;Errores Totales
1501165;222005020104;1;1
Totales;1 DTE;1;
