CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.62.19.43;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.62.19.43;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.62.19.43;Error MINISTERIO HACIENDA NO SE HA PROPORCIONADO DATOS PARA VALIDAR. Su direccion IP es: 190.62.19.43;Errores Totales
1444012;611001060006;1;0;0;0;1
1444014;611001060006;0;1;0;0;1
1444784;611001060011;0;1;0;0;1
1444739;611001060011;0;1;0;0;1
1444817;611001060011;0;1;0;0;1
1444837;611001060011;0;1;0;0;1
1444839;611001060011;0;1;0;0;1
1444818;611001060011;0;1;0;0;1
1444838;611001060011;0;1;0;0;1
1444899;611001060010;0;1;0;0;1
1444909;611001060010;1;0;0;0;1
1444925;611001060010;0;1;0;0;1
1444938;611001060010;0;1;0;0;1
1444939;611001060010;0;1;0;0;1
1444940;611001060010;0;1;0;0;1
1444994;611001050011;1;0;0;0;1
1444997;611001050011;0;1;0;0;1
1444995;611001050011;1;0;0;0;1
1445039;611001050011;0;1;0;0;1
1445077;114103990134;0;1;0;0;1
1445098;114103990167;0;1;0;0;1
1445040;611001050011;0;1;0;0;1
1445240;114203990147;0;1;0;0;1
1445273;114203990147;0;1;0;0;1
1445297;114203990147;0;1;0;0;1
1445241;114203990147;0;1;0;0;1
1445566;114203990147;1;0;0;0;1
1445987;114203990148;0;1;0;0;1
1446032;114203990148;0;1;0;0;1
1446111;114203990167;0;1;0;0;1
1446179;114203990167;0;0;1;0;1
1446132;114203990167;0;1;0;0;1
1446150;114203990167;0;1;0;0;1
1446101;114203990167;0;1;0;0;1
1446162;114203990167;0;1;0;0;1
1446171;114203990167;0;1;0;0;1
1446151;114203990167;0;1;0;0;1
1446511;114204990111;1;0;0;0;1
1446605;114204990111;1;0;0;0;1
1448682;114204990153;0;1;0;0;1
1448677;114204990153;0;1;0;0;1
1446505;114204990111;0;1;0;0;1
1448314;114204990124;1;0;0;0;1
1448350;114204990124;1;0;0;0;1
1446735;114204990113;1;0;0;0;1
1446598;114204990111;0;1;0;0;1
1448234;114204990124;0;1;0;0;1
1446568;114204990111;0;1;0;0;1
1446633;114204990111;0;1;0;0;1
1446713;114204990113;0;1;0;0;1
1448326;114204990124;0;0;0;1;1
1446469;114204990111;1;0;0;0;1
1448741;114204990168;0;1;0;0;1
1454061;621004060007;0;0;1;0;1
1454090;621004060007;0;0;1;0;1
1454232;621001020004;0;0;1;0;1
1454267;621001020004;0;0;1;0;1
1454157;621001020004;0;1;0;0;1
1454198;621001020004;0;1;0;0;1
1454306;621001020004;0;0;1;0;1
1454276;621001020004;1;0;0;0;1
1454277;621001020004;1;0;0;0;1
1454456;621001020004;0;0;1;0;1
1454385;621001020004;0;1;0;0;1
1454434;621001020004;0;1;0;0;1
1454463;621001020004;0;1;0;0;1
1454524;621001020004;0;1;0;0;1
1454600;621004060013;0;0;1;0;1
1454594;621004060013;1;0;0;0;1
1454753;621004060084;0;1;0;0;1
1458047;621004060084;0;1;0;0;1
1457257;621004060084;1;0;0;0;1
1455385;621004060084;0;1;0;0;1
1458052;621004060084;0;1;0;0;1
1458051;621004060084;0;1;0;0;1
1462748;621004060036;0;1;0;0;1
1462885;621004060073;1;0;0;0;1
1462766;621004060049;0;1;0;0;1
1463041;621004060005;0;1;0;0;1
1463049;621004060005;0;1;0;0;1
1463043;621004060005;1;0;0;0;1
1463052;621004060005;0;1;0;0;1
1462938;621004060005;0;1;0;0;1
1463152;621004060005;0;1;0;0;1
1463180;621004060006;0;1;0;0;1
1463471;125002040103;0;1;0;0;1
1463619;125002040103;0;1;0;0;1
1463590;125002040103;1;0;0;0;1
1463866;125002040103;0;1;0;0;1
1463850;125002040103;1;0;0;0;1
1463851;125002040103;1;0;0;0;1
1463854;125002040103;1;0;0;0;1
1464083;125002040103;0;1;0;0;1
1464338;125002040103;0;1;0;0;1
1464422;125002040103;0;1;0;0;1
1463864;125002040103;0;1;0;0;1
1464272;125002040103;1;0;0;0;1
1464423;125002040103;0;1;0;0;1
1465697;125002040103;0;1;0;0;1
1465705;125002040103;0;1;0;0;1
1465979;125002040104;1;0;0;0;1
1466103;125002040105;0;1;0;0;1
1466020;125002040104;1;0;0;0;1
1466222;125002040105;1;0;0;0;1
1466353;125002040105;0;0;1;0;1
1466317;125002040105;1;0;0;0;1
1466323;125002040105;0;1;0;0;1
1466322;125002040105;0;1;0;0;1
1466320;125002040105;1;0;0;0;1
1466400;125002040105;0;1;0;0;1
1466318;125002040105;1;0;0;0;1
1466401;125002040105;0;1;0;0;1
1466499;125002040105;0;1;0;0;1
1466498;125002040105;0;1;0;0;1
1466522;125002040105;0;1;0;0;1
1466399;125002040105;0;1;0;0;1
Totales;116 DTE;28;78;9;1;
