CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.62.19.43;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.62.19.43;Errores Totales
1531190;114203990167;1;0;1
1531122;611001060006;1;0;1
1531198;114204990111;1;0;1
1533444;621004060084;0;1;1
1534741;621004060084;1;0;1
1531173;114103990167;1;0;1
1531189;114203990167;1;0;1
1535777;125002040105;1;0;1
1535694;125002040103;1;0;1
1535779;125002040105;1;0;1
1535264;621004060033;0;1;1
1535736;125002040103;1;0;1
1535778;125002040105;1;0;1
1531157;611001060010;1;0;1
1535793;125002040105;1;0;1
Totales;15 DTE;13;2;
