CORRELATIVO;CUENTA_CONTABLE;Error MINISTERIO HACIENDA [receptor.nrc] NO CORRESPONDE A CONTRIBUYENTE. Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA [receptor.nit] NIT CONTRIBUYENTE NO EXISTE. Su direccion IP es: 190.57.73.62;Error al Generar DTE ( Error Interno Contacte Administrador.). Su direccion IP es: 190.57.73.62;Error MINISTERIO HACIENDA NO SE HA PROPORCIONADO DATOS PARA VALIDAR. Su direccion IP es: 190.57.73.62;Errores Totales
1713326;611001060010;1;0;0;0;1
1713383;114203990147;1;0;0;0;1
1713325;611001060010;1;0;0;0;1
1713324;611001060010;1;0;0;0;1
1714444;114204990124;0;1;0;0;1
1714585;114204990162;1;0;0;0;1
1714590;114204990164;1;0;0;0;1
1713468;114204990111;1;0;0;0;1
1717984;621001020004;1;0;0;0;1
1713664;114204990121;0;1;0;0;1
1714492;114204990131;1;0;0;0;1
1718031;621001020004;1;0;0;0;1
1718019;621001020004;1;0;0;0;1
1718052;621001020004;1;0;0;0;1
1718095;621001020004;0;0;1;0;1
1718121;621001020004;0;0;1;0;1
1718196;621001020004;0;0;1;0;1
1718188;621001020004;1;0;0;0;1
1718261;621001020004;0;0;0;1;1
1718238;621001020004;1;0;0;0;1
1718257;621001020004;1;0;0;0;1
1718307;621001020004;1;0;0;0;1
1718466;621004060013;0;0;1;0;1
1718447;621001020004;1;0;0;0;1
1718504;225004020004;1;0;0;0;1
1718545;621004060084;1;0;0;0;1
1718506;611001050004;1;0;0;0;1
1720268;621004060044;1;0;0;0;1
1719850;621004060084;0;1;0;0;1
1720745;621004060044;1;0;0;0;1
1722285;621004060044;0;1;0;0;1
1720296;621004060044;0;1;0;0;1
1722468;621004060005;1;0;0;0;1
1722467;621004060005;1;0;0;0;1
1722573;621004060005;1;0;0;0;1
1722741;621004060031;1;0;0;0;1
1722909;125002040103;1;0;0;0;1
1723014;125002040103;0;1;0;0;1
1723932;125002040104;0;1;0;0;1
1723015;125002040103;0;1;0;0;1
1723903;125002040103;0;1;0;0;1
1723933;125002040104;0;1;0;0;1
1724323;125002040108;1;0;0;0;1
1724059;125002040105;1;0;0;0;1
1724307;125002040106;0;1;0;0;1
Totales;45 DTE;29;11;4;1;
